country,year,gender,mortality_rate
AFG,2017,BTSX,64.94076
AGO,2017,BTSX,80.6223
ALB,2017,BTSX,9.41805
AND,2017,BTSX,3.21892
ARE,2017,BTSX,7.6953
ARG,2017,BTSX,10.3272
ARM,2017,BTSX,13.00301
ATG,2017,BTSX,7.11876
AUS,2017,BTSX,3.71511
AUT,2017,BTSX,3.59247
AZE,2017,BTSX,22.9756
BDI,2017,BTSX,61.34873
BEL,2017,BTSX,3.65797
BEN,2017,BTSX,95.13308
BFA,2017,BTSX,93.86291
BGD,2017,BTSX,33.92123
BGR,2017,BTSX,7.35619
BHR,2017,BTSX,7.2685
BHS,2017,BTSX,13.28724
BIH,2017,BTSX,6.08345
BLR,2017,BTSX,3.62058
BLZ,2017,BTSX,13.7345
BOL,2017,BTSX,28.18333
BRA,2017,BTSX,14.80567
BRB,2017,BTSX,13.3795
BRN,2017,BTSX,11.03344
BTN,2017,BTSX,30.64642
BWA,2017,BTSX,43.78164
CAN,2017,BTSX,5.08447
CHE,2017,BTSX,4.18119
CHL,2017,BTSX,7.42801
CHN,2017,BTSX,9.16762
CMR,2017,BTSX,80.8187
COD,2017,BTSX,90.76392
COG,2017,BTSX,50.90423
COK,2017,BTSX,8.12408
COL,2017,BTSX,14.66866
COM,2017,BTSX,67.32862
CPV,2017,BTSX,16.83571
CRI,2017,BTSX,8.7646
CUB,2017,BTSX,5.34616
CYP,2017,BTSX,2.5042
CZE,2017,BTSX,3.19046
DEU,2017,BTSX,3.8831
DJI,2017,BTSX,61.29234
DMA,2017,BTSX,33.15141
DNK,2017,BTSX,3.98589
DOM,2017,BTSX,29.66065
DZA,2017,BTSX,24.31948
ECU,2017,BTSX,14.4964
EGY,2017,BTSX,21.74313
ERI,2017,BTSX,43.28048
ESP,2017,BTSX,3.20513
EST,2017,BTSX,2.73852
ETH,2017,BTSX,55.83954
FIN,2017,BTSX,2.41602
FJI,2017,BTSX,25.18914
FRA,2017,BTSX,4.25518
FSM,2017,BTSX,31.53412
GAB,2017,BTSX,45.10712
GBR,2017,BTSX,4.36933
GEO,2017,BTSX,10.0062
GHA,2017,BTSX,50.02846
GIN,2017,BTSX,0
GMB,2017,BTSX,55.71169
GNB,2017,BTSX,84.22306
GNQ,2017,BTSX,87.67385
GRC,2017,BTSX,4.25004
GRD,2017,BTSX,16.57524
GTM,2017,BTSX,26.23585
GUY,2017,BTSX,31.22398
HND,2017,BTSX,17.94525
HRV,2017,BTSX,4.86301
HTI,2017,BTSX,66.58131
HUN,2017,BTSX,4.3596
IDN,2017,BTSX,25.69675
IND,2017,BTSX,38.52349
IRL,2017,BTSX,3.49987
IRN,2017,BTSX,14.93505
IRQ,2017,BTSX,27.6596
ISL,2017,BTSX,2.102
ISR,2017,BTSX,3.78791
ITA,2017,BTSX,3.29807
JAM,2017,BTSX,14.72826
JOR,2017,BTSX,16.5725
JPN,2017,BTSX,2.5996
KAZ,2017,BTSX,10.48524
KEN,2017,BTSX,46.42324
KGZ,2017,BTSX,20.13778
KHM,2017,BTSX,28.82996
KIR,2017,BTSX,54.10827
KNA,2017,BTSX,16.18695
KOR,2017,BTSX,3.33248
KWT,2017,BTSX,8.29851
LAO,2017,BTSX,49.16857
LBN,2017,BTSX,7.69387
LBR,2017,BTSX,87.91427
LBY,2017,BTSX,12.37202
LCA,2017,BTSX,21.66985
LKA,2017,BTSX,7.79983
LSO,2017,BTSX,88.70981
LTU,2017,BTSX,4.39853
LUX,2017,BTSX,2.84935
LVA,2017,BTSX,4.16368
MAR,2017,BTSX,23.14953
MCO,2017,BTSX,3.30785
MDA,2017,BTSX,14.98372
MDG,2017,BTSX,54.1279
MDV,2017,BTSX,8.82476
MEX,2017,BTSX,15.16481
MHL,2017,BTSX,33.78079
MLI,2017,BTSX,0
MLT,2017,BTSX,7.09045
MMR,2017,BTSX,48.11328
MNE,2017,BTSX,2.79464
MNG,2017,BTSX,17.54664
MOZ,2017,BTSX,79.38963
MRT,2017,BTSX,77.79046
MUS,2017,BTSX,14.85839
MWI,2017,BTSX,46.86406
MYS,2017,BTSX,8.27963
NAM,2017,BTSX,44.52817
NER,2017,BTSX,86.64145
NGA,2017,BTSX,0
NIC,2017,BTSX,17.95781
NIU,2017,BTSX,24.85338
NLD,2017,BTSX,4.0213
NOR,2017,BTSX,2.57299
NPL,2017,BTSX,33.20955
NRU,2017,BTSX,32.91996
NZL,2017,BTSX,5.08376
OMN,2017,BTSX,11.33055
PAK,2017,BTSX,71.58254
PAN,2017,BTSX,15.8956
PER,2017,BTSX,14.34335
PHL,2017,BTSX,28.72524
PLW,2017,BTSX,18.52734
PNG,2017,BTSX,47.64628
POL,2017,BTSX,4.57635
PRK,2017,BTSX,19
PRT,2017,BTSX,3.64803
PRY,2017,BTSX,20.80834
QAT,2017,BTSX,7.14667
ROU,2017,BTSX,8.05873
RUS,2017,BTSX,6.8837
RWA,2017,BTSX,37.47283
SAU,2017,BTSX,7.38801
SDN,2017,BTSX,62.16602
SEN,2017,BTSX,48.78243
SGP,2017,BTSX,2.67477
SLB,2017,BTSX,20.95147
SLE,2017,BTSX,0
SLV,2017,BTSX,14.22973
SMR,2017,BTSX,1.81719
SOM,2017,BTSX,0
SRB,2017,BTSX,5.7571
SSD,2017,BTSX,96.2293
STP,2017,BTSX,32.02914
SUR,2017,BTSX,19.05302
SVK,2017,BTSX,5.97681
SVN,2017,BTSX,2.27475
SWE,2017,BTSX,2.74745
SWZ,2017,BTSX,62.32347
SYC,2017,BTSX,14.71214
SYR,2017,BTSX,22.97097
TCD,2017,BTSX,0
TGO,2017,BTSX,71.31724
THA,2017,BTSX,9.85507
TJK,2017,BTSX,35.81121
TKM,2017,BTSX,42.45212
TLS,2017,BTSX,47.27165
TON,2017,BTSX,16.82447
TTO,2017,BTSX,18.56842
TUN,2017,BTSX,17.07113
TUR,2017,BTSX,11.39663
TUV,2017,BTSX,25.52692
TZA,2017,BTSX,53.75319
UGA,2017,BTSX,50.2486
UKR,2017,BTSX,8.8929
URY,2017,BTSX,7.95442
USA,2017,BTSX,6.66193
UZB,2017,BTSX,19.64892
VCT,2017,BTSX,15.64783
VEN,2017,BTSX,24.2
VNM,2017,BTSX,20.84312
VUT,2017,BTSX,27.30979
WSM,2017,BTSX,15.95533
YEM,2017,BTSX,56.96643
ZAF,2017,BTSX,35.59544
ZMB,2017,BTSX,64.3379
ZWE,2017,BTSX,58.23492
MKD,2017,BTSX,9.944
